Name, RA ,Dec ,Type,Date ,Dist
HESS J1800-240A,270.49083333333334,-23.962,SNR/Molec. Cloud,2008.04,2 kpc
HESS J1804-216,271.13,-21.7,UNID,2005.03,6 kpc
HESS J1808-204,272.15541666666667,-20.426750000000002,UNID,2012.07,
HESS J1809-193,272.6291666666667,-19.3,UNID,2007.09,3.7 kpc
HESS J1813-126,273.34024999999997,-12.687111111111111,UNID,2015.08,
B2 1811+31,273.39667791666665,31.73822777777778,IBL,2020.10,z = 0.117
HESS J1813-178,273.4,-17.84,PWN,2005.03,4.7 kpc
2HWC J1814-173,273.52000000000004,-17.310000000000002,UNID,2017.07,
SNR G015.4+00.1,274.52000000000004,-15.466944444444444,Composite SNR,2011.12,4.8 kpc
2HWC J1819-150*,274.83,-15.06,UNID,2017.07,
LHAASO J1825-1326,276.45,-13.45,UNID,2021.05,
HESS J1825-137,276.45416666666665,-13.77638888888889,PWN/TeV Halo,2005.03,3.9 kpc
2HWC J1825-134,276.46000000000004,-13.4,UNID,2017.02,
HESS J1826-130,276.50899999999996,-13.066666666666666,UNID,2015.07,4 kpc
LS 5039,276.5625,-14.825,Binary,2005.07,2.5 kpc
HESS J1828-099,277.24466666666666,-9.992722222222222,UNID,2015.07,
2HWC J1829+070,277.34000000000003,7.03,UNID,2017.02,
HESS J1831-098,277.85416666666663,-9.9,PWN,2011.10,
HESS J1832-085,278.125,-8.511388888888888,UNID,2015.07,
HESS J1832-093,278.20833333333337,-9.376666666666667,Binary,2011.10,
HESS J1833-105,278.39583333333337,-10.571666666666667,PWN,2007.10,4.8 kpc
HESS J1834-087,278.69,-8.76,UNID,2005.03,4 kpc
MAGIC J1835-069,278.85999999999996,-6.94,UNID,2018.12,
MAGIC J1837-073,279.34000000000003,-7.28,UNID,2018.12,
2HWC J1837-065,279.35999999999996,-6.58,UNID,2017.02,
HESS J1837-069,279.40999999999997,-6.95,PWN,2005.03,6.6 kpc
LHAASO J1839-0545,279.94999999999993,-5.75,UNID,2021.05,
HESS J1841-055,280.2291666666667,-5.55,UNID,2007.07,
LHAASO J1843-0338,280.75,-3.65,UNID,2021.05,
HESS J1843-033,280.94999999999993,-3.553888888888889,UNID,2008.07,
2HWC J1844-032,281.07,-3.25,UNID,2017.02,
HESS J1844-030,281.17175000000003,-3.0929444444444445,UNID,2015.07,
HESS J1846-029,281.6,-2.973888888888889,PWN,2007.10,6.3 kpc
HESS J1848-018,282.12083333333334,-1.7923055555555554,Massive Star Cluster,2008.07,5.3 kpc
IGR J18490-0000,282.23333333333335,-0.04111111111111111,PWN,2008.07,7 kpc
LHAASO J1849-0003,282.35,-0.05,UNID,2021.05,
2HWC J1852+013*,283.01,1.3800000000000001,UNID,2017.02,
HESS J1852-000,283.05833333333334,-0.09888888888888889,UNID,2011.08,
HESS J1857+026,284.2958333333333,2.6666666666666665,UNID,2007.07,
MAGIC J1857.2+0263,284.3041666666667,2.625277777777778,PWN,2014.11,
MAGIC J1857.6+0297,284.3983333333333,2.9672222222222224,UNID,2014.11,
HESS J1858+020,284.5833333333333,2.0900000000000003,UNID,2007.07,
2HWC J1902+048*,285.51000000000005,4.859999999999999,UNID,2017.02,
2HWC J1907+084*,286.79,8.5,UNID,2017.02,
MGRO J1908+06,286.975,6.268611111111111,UNID,2007.08,
LHAASO J1908+0621,287.05,6.35,UNID,2021.05,
SS 433 w1,287.6541666666667,5.036944444444444,Binary,2018.10,5.5 kpc
W 49B,287.78041666666667,9.160277777777779,SNR/Molec. Cloud,2010.12,11.3 kpc
HESS J1912+101,288.20416666666665,10.151666666666667,Shell,2008.02,
SS 433 e1,288.40416666666664,4.930000000000001,Binary,2018.10,5.5 kpc
2HWC J1914+117*,288.68,11.72,UNID,2017.02,
2HWC J1921+131,290.3,13.13,UNID,2017.02,
W 51,290.73,14.191,SNR/Molec. Cloud,2008.10,5.4 kpc
2HWC J1928+177,292.15,17.779999999999998,UNID,2017.02,
LHAASO J1929+1745,292.25,17.75,UNID,2021.05,
SNR G054.1+00.3,292.6333333333333,18.87,PWN,2009.07,6.2 kpc
2HWC J1938+238,294.7416666666667,23.810000000000002,UNID,2017.02,
HESS J1943+213,295.9791666666667,21.302222222222223,HBL,2010.11,
2HWC J1949+244,297.42,24.46,UNID,2017.02,
2HWC J1953+294,298.26,29.479999999999997,PWN,2017.02,
2HWC J1955+285,298.83,28.59,UNID,2017.02,
LHAASO J1956+2845,299.05,28.75,UNID,2021.05,
1RXS J195815.6-301119,299.5620833333333,-30.186611111111112,HBL,2021.07,z = 0.119329
1ES 1959+650,299.99916666666667,65.14861111111112,HBL,1999.08,z = 0.048
MAGIC J2001+435,300.315,43.879,IBL,2010.07,z = 0.1739
2HWC J2006+341,301.55,34.18,UNID,2017.02,
PKS 2005-489,302.36249999999995,-48.83111111111111,HBL,2005.06,z = 0.071
VER J2016+371,304.00833333333327,37.19777777777777,UNID,2011.08,
MGRO J2019+37,304.64595833333334,36.833333333333336,PWN,2007.03,
LHAASO J2018+3651,304.75,36.85,UNID,2021.05,
VER J2019+368,304.85416666666663,36.803888888888885,UNID,2014.04,
MilagroDiffuse,305.0,38.0,UNID,2005.12,
VER J2019+407,305.02,40.757222222222225,UNID,2009.11,
MGRO J2031+41,307.18,41.309999999999995,UNID,2007.08,
ARGO J2031+4157,307.8,42.5,Superbubble,2014.08,1.4 kpc
TeV J2032+4130,307.8875,41.577222222222225,PWN,2002.10,1.8 kpc
PSR J2032+4127,308.0416666666667,41.45944444444445,Binary,2017.10,1.8 kpc
LHAASO J2032+4102,308.05,41.05,UNID,2021.05,
1ES 2037+521,309.8479166666666,52.330555555555556,HBL,2016.10,z = 0.053
RGB J2056+496,314.1779166666667,49.66861111111111,Blazar,2016.11,
LHAASO J2108+5157,317.15000000000003,51.95,DARK,2021.05,
PKS 2155-304,329.71958333333333,-30.221666666666664,HBL,1999.06,z = 0.116
BL Lacertae,330.6804166666667,42.27777777777778,IBL,2001.04,z = 0.069
LHAASO J2226+6057,336.75,60.95,UNID,2021.05,
SNR G106.3+02.7,336.99583333333334,60.87694444444445,Shell,2009.07,0.8 kpc
Boomerang,337.1833333333333,61.166666666666664,PWN,2009.04,0.8 kpc
RGB J2243+203,340.96666666666664,20.32,HBL,2014.12,
B3 2247+381,342.5275,38.43277777777777,HBL,2010.10,z = 0.1187
Cassiopeia A,350.8075,58.80722222222222,Shell,2001.04,3.4 kpc
1ES 2322-409,351.19999999999993,-40.66,HBL,2018.10,z = 0.1736
1ES 2344+514,356.7666666666667,51.71361111111111,HBL,1998.07,z = 0.044
